full_name,Semi-Major Axis (AU),Eccentricity,Inclination (deg),Perihelion Dist. (AU),Aphelion Dist. (AU),Period (Years),Diamter (km),Rotational Period (h)
  9247 (1998 MO19),3.110038874,0.07060829267,26.50495528,2.890444339,3.329633409,5.484751157,21.49,
  9294 (1983 EV),2.7263834,0.1102983,3.61669,2.4256679,3.0270989,4.501824814,15.6,
  9344 Klopstock (1991 RB4),2.3640014,0.0880221,5.02886,2.155917,2.5720858,3.634793946,17.05,
  9347 (1991 RY21),2.41017026,0.157515736,3.310776176,2.030530518,2.789810003,3.74179325,11.23,
  9402 (1994 UN1),3.3515495,0.1157959,9.95503,2.9634538,3.7396452,6.135876936,23,
  9515 Dubner (1975 RA2),2.4231689,0.224297,23.70415,1.8796594,2.9666784,3.77210468,11.74,
  9559 (1987 DH6),2.694392996,0.1074869782,1.403302904,2.404780834,2.984005157,4.422823551,14.1,
  9661 Hohmann (1996 FU13),3.9492215,0.2334493,12.98742,3.0272785,4.8711645,7.848297189,25.56,
  9719 Yakage (1977 DF2),2.7678135,0.0427824,5.07633,2.6493998,2.8862272,4.604828266,19.77,
  9799 (1996 RJ),5.19239,0.04732483549,30.51192915,4.946660997,5.438119002,11.8320272,64.87,21.52
  9856 (1991 EE),2.247163153,0.6239933884,9.778341528,0.8449482026,3.649378103,3.368682728,1,3.045
  9920 (1981 EZ10),2.783164765,0.04263808781,3.257513607,2.664495941,2.901833589,4.643191317,15.42,
 10046 Creighton (1986 JC),2.3420012,0.2380749,8.32042,1.7844295,2.8995729,3.584172212,12.4,6.566
 10050 Rayman (1987 MA1),2.685125278,0.2676701955,12.21599764,1.96639727,3.403853286,4.400023863,10.82,
 10199 Chariklo (1997 CU26),15.73752568,0.1707069857,23.40665921,13.05102011,18.42403125,62.43280967,302,
 10227 Izanami (1997 VO6),3.128377861,0.06774133856,12.65937502,2.916457357,3.340298364,5.533335558,26.79,2.92
 10259 Osipovyurij (1972 HL),3.1198169,0.2441263,16.64092,2.3581875,3.8814463,5.510637793,20.16,
 10287 Smale (1982 UK7),2.441411,0.2442499,4.6413,1.8450966,3.0377254,3.814780484,11.32,
 10288 Saville (1983 WN),2.330184327,0.2495302619,9.329157696,1.748732822,2.911635832,3.557079875,6.84,
 10291 (1985 UT),2.982634031,0.1088892563,8.102580506,2.657857229,3.307410832,5.151196954,26.24,
 10299 (1988 VS3),2.680311325,0.2190159113,10.30480997,2.093280498,3.267342152,4.388196476,11.46,
 10328 (1991 GC1),2.5357867,0.205778,13.82206,2.0139776,3.0575958,4.03810203,8.83,15.357
 10369 Sinden (1995 CE2),2.609833601,0.04067556525,28.48149097,2.503677144,2.715990058,4.216260441,15.2,
 10386 Romulus (1996 TS15),3.2489874,0.0867864,22.97819,2.9670195,3.5309553,5.856393506,21.41,
 10583 Kanetugu (1995 WC4),3.114581697,0.2239891703,14.6799569,2.416949127,3.812214267,5.496772882,25.16,
 10637 Heimlich (1998 QP104),3.177671409,0.02055347483,13.7018008,3.112359219,3.242983598,5.664631745,25.84,
